ekfac_damp,pbrf_damp,pbrf_gnh,correlation
0.0001,0.0001,False,0.8070253372192383
0.0001,0.0001,True,0.3274539478123188
0.0001,0.001,False,0.7742688208818436
0.0001,0.001,True,0.2653692662715912
0.0001,0.01,False,0.5734587435610592
0.0001,0.01,True,0.2074511146172881
0.0001,0.1,False,0.4384005680680275
0.0001,0.1,True,0.1941679078154266
0.0001,1e-05,False,0.7655004262924194
0.0001,1e-05,True,0.364115959405899
0.0001,1e-06,False,0.7533537656068802
0.0001,1e-06,True,0.4764963030815125
0.0001,1e-07,False,0.19785517659038304
0.0001,1e-07,True,0.15950852911919355
0.0001,1e-08,True,0.8696562230587006
0.0001,1e-09,True,0.9253648936748504
0.0001,1e-10,True,0.8358863890171051
0.001,0.0001,False,0.8102163016796112
0.001,0.0001,True,0.3791774358600378
0.001,0.001,False,0.8196542441844941
0.001,0.001,True,0.3111110456287861
0.001,0.01,False,0.6354553043842316
0.001,0.01,True,0.24744341038167478
0.001,0.1,False,0.49828242510557175
0.001,0.1,True,0.23267607837915422
0.001,1e-05,False,0.7423857390880585
0.001,1e-05,True,0.418675046460703
0.001,1e-06,False,0.7230120420455932
0.001,1e-06,True,0.5372221633791924
0.001,1e-07,False,0.18519625589251518
0.001,1e-07,True,0.1978451531380415
0.001,1e-08,True,0.9176773488521576
0.001,1e-09,True,0.9350712120532989
0.001,1e-10,True,0.824749356508255
0.01,0.0001,False,0.7236991554498673
0.01,0.0001,True,0.5325801908969879
0.01,0.001,False,0.8716206669807434
0.01,0.001,True,0.45064500272274016
0.01,0.01,False,0.7901636302471161
0.01,0.01,True,0.3720836371183395
0.01,0.1,False,0.6696571201086045
0.01,0.1,True,0.35329308211803434
0.01,1e-05,False,0.6026468127965927
0.01,1e-05,True,0.5783242911100388
0.01,1e-06,False,0.5761799313127994
0.01,1e-06,True,0.7091461539268493
0.01,1e-07,False,0.13969884486868978
0.01,1e-07,True,0.3186266340315342
0.01,1e-08,True,0.9594785332679748
0.01,1e-09,True,0.8621072053909302
0.01,1e-10,True,0.7370459198951721
0.1,0.0001,False,0.46780983209609983
0.1,0.0001,True,0.7563941031694412
0.1,0.001,False,0.732296708226204
0.1,0.001,True,0.6669061630964279
0.1,0.01,False,0.8795708298683167
0.1,0.01,True,0.5765339612960816
0.1,0.1,False,0.8679985046386719
0.1,0.1,True,0.5542404562234878
0.1,1e-05,False,0.3461478017270565
0.1,1e-05,True,0.8008850693702698
0.1,1e-06,False,0.32603223621845245
0.1,1e-06,True,0.9114318370819092
0.1,1e-07,False,0.05734804319217801
0.1,1e-07,True,0.522314777970314
0.1,1e-08,True,0.818586242198944
0.1,1e-09,True,0.6311087056994438
0.1,1e-10,True,0.5243028661236167
1e-05,0.0001,False,0.8020343780517578
1e-05,0.0001,True,0.31874803006649016
1e-05,0.001,False,0.7619642913341522
1e-05,0.001,True,0.2581977806985378
1e-05,0.01,False,0.5612054578959942
1e-05,0.01,True,0.20145905558019878
1e-05,0.1,False,0.42857294976711274
1e-05,0.1,True,0.18849887831020168
1e-05,1e-05,False,0.7659219652414322
1e-05,1e-05,True,0.3544951990246773
1e-05,1e-06,False,0.756314042210579
1e-05,1e-06,True,0.4647317260503769
1e-05,1e-07,False,0.20010700803250075
1e-05,1e-07,True,0.1543127590790391
1e-05,1e-08,True,0.8548676490783691
1e-05,1e-09,True,0.9172744631767273
1e-05,1e-10,True,0.8359464406967163
1e-06,0.0001,False,0.8019788384437561
1e-06,0.0001,True,0.31962055191397665
1e-06,0.001,False,0.7623428910970688
1e-06,0.001,True,0.2590406656265259
1e-06,0.01,False,0.5618337251245975
1e-06,0.01,True,0.20220269300043583
1e-06,0.1,False,0.42946115136146545
1e-06,0.1,True,0.18921030161436647
1e-06,1e-05,False,0.7655089497566223
1e-06,1e-05,True,0.35529701262712476
1e-06,1e-06,False,0.756039559841156
1e-06,1e-06,True,0.46513796001672747
1e-06,1e-07,False,0.20056704189628363
1e-06,1e-07,True,0.15500051332637668
1e-06,1e-08,True,0.8551675766706467
1e-06,1e-09,True,0.9171683073043824
1e-06,1e-10,True,0.8364180386066437
1e-07,0.0001,False,0.8023224532604217
1e-07,0.0001,True,0.32098590657114984
1e-07,0.001,False,0.7641809582710266
1e-07,0.001,True,0.26052557602524756
1e-07,0.01,False,0.5638529222458601
1e-07,0.01,True,0.203536924906075
1e-07,0.1,False,0.43110890239477156
1e-07,0.1,True,0.19045297503471376
1e-07,1e-05,False,0.7649404048919678
1e-07,1e-05,True,0.3567615136504173
1e-07,1e-06,False,0.7552861958742142
1e-07,1e-06,True,0.4669142305850983
1e-07,1e-07,False,0.19954014383256435
1e-07,1e-07,True,0.15611001756042242
1e-07,1e-08,True,0.8569761246442795
1e-07,1e-09,True,0.917721176147461
1e-07,1e-10,True,0.836828202009201
